Campaign_Name,Campaign_Objective,Campaign_Interaction_Type,Campaign_Conversion_Type,Campaign_Brand,Campaign_Brand_Type,Campaign_Sector,Campaign_Subsector,Campaign_Served_Country,Campaign_ID,Campaign_KPI,Campaign_Audience,Campaign_Duration,Campaign_Seasonality_Target,Client_Name,Client_Region,Client_Sector,Client_Relationship,Source_game_key,,Source_url,,Source_full_url,Ad_Type,Ad_Interaction,Ad_Build_Type,Ad_Video,Ad_Slideshow,Ad_target_audience,Ad_environment,Ad_format,Ad_KPI,Ad_eng_rate,Ad_eng_rate_>_benchmark,Ad_CTR,Ad_CTR_ >_ benchmark,Ad_VTR,Ad_VTR_>_benchmark,Ad_Interaction_changes,Ad_interaction_type_new,Ad_margins,Ad_BIO_recency
"BMW 
(3 Series Update)",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,6cbd8db3817d6530e8a8bcd90f132d49/58591cd38e0e46644883,/game.js,https://wat.adludio.com/games/6cbd8db3817d6530e8a8bcd90f132d49/58591cd38e0e46644883/game.js,,🔘 Press & Hold,,,,,,MPU,,,,,,,,,,,
Estee Lauder Lunar,,,,,,Beauty,,,,,,,,,,,,,https://wat.adludio.com/games/,bcba23d257ea3245230f6022661fbcda/cfebe9dbaeeef0482f6d,/game.js,https://wat.adludio.com/games/bcba23d257ea3245230f6022661fbcda/cfebe9dbaeeef0482f6d/game.js,,🔘 Press & Hold,standard,YES,–,"FEMALES, AGED 18+.
High income ",Display,Full Screen,Engagement rate,34.31%,Yes,,,,,,,92.57%,
"Three Mobile - 
(Pay as you go with 
benefits)",,,,,,Technology,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-three-mobile-payg-social/80b1d1ae88fe7d683521,/game.js,https://wat.adludio.com/games/adunit-three-mobile-payg-social/80b1d1ae88fe7d683521/game.js,GAME,"⬅️📱➡️ Tilt left or right
Game",non-standard,–,–,"existing Three mobile customers
adults A18-25
easy to use pay as you go scheme",Social,Full Screen,Engagement ,N/A,N/A,N/A,N/A,N/A,N/A,,,100%,
"BBC 
(Luther Season 5)",,,,,,"TV, online streaming,
movies",,,,,,,,,,,,,https://wat.adludio.com/games/,67c06b842ba7a768a735f56f8cc9f4ed/0ee4e9a03617bdcd1534,/game.js,https://wat.adludio.com/games/67c06b842ba7a768a735f56f8cc9f4ed/0ee4e9a03617bdcd1534/game.js,,🔘 Press & Hold,standard,–,–,"Adults A16+
fans of the series and of detective tv shows",Social,Full Screen,Engagements,33.84%,Yes,32.59%,Yes,N/A,N/A,No,N/A,100%,
"Network Rail 
(Christmas Intoxication)",,,,,,Governement,,,,,,,,,,,,,https://wat.adludio.com/games/,e223d29bb0dcc019943fd808c5f1e018/79a94c7f053bbbaebc96,/game.js,https://wat.adludio.com/games/e223d29bb0dcc019943fd808c5f1e018/79a94c7f053bbbaebc96/game.js,,🔘 Press & Hold,standard,–,–,"Adults, drinkers
safety over rails",,Full Screen,,,,,,,,,,87.95%,
"Network Rail 
MML Safety",,,,,,Governement,,,,,,,,,,,,,https://wat.adludio.com/games/,c2ac1d03d436e84ceeca6bf720dfb862/9ee6e0c19dc460e868c6,/game.js,https://wat.adludio.com/games/c2ac1d03d436e84ceeca6bf720dfb862/9ee6e0c19dc460e868c6/game.js,,◾️👆🔲 Drag & Drop,standard,YES,–,"Shock advertising (literally)
train users",Display,Full Screen,Clicks,13.49%,No,13.18%,Yes,40.16%,Yes,Yes,Showing CTA earlier,70.02%,
"Banyan Tree 
Angsana",,,,,,Tourism,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-banyan-treeangsana/946d097260263be2e8e3,/game.js,https://wat.adludio.com/games/adunit-banyan-treeangsana/946d097260263be2e8e3/game.js,USER CHOISE,◾️👆🔲 Drag & Drop,non-standard,–,–,"Travellers
Families with kids
Active Adults",Display,Full Screen,Engagement rate and CTR,4.06%,NO,15.18%,YES,,,YES,Increased engagement area to the whole unit as it was not performing well.,47.20%,
"Warner Edwards 
Rhubarb Gin",,,,,,Alcoholic drink,,,,,,,,,,,,,https://wat.adludio.com/games/,3c5d52fe3086acdc00bdb589eec13922/4bdbe5991384fd2d370c,/game.js,https://wat.adludio.com/games/3c5d52fe3086acdc00bdb589eec13922/4bdbe5991384fd2d370c/game.js,,⦿👆Tap,standard,–,–,"adults
regular drinkers",Display,Full Screen,Clicks,32.92%,Yes,10.07%,Yes,N/A,N/A,Yes,Changed first interaction to just TAP,90.00%,
"MAC 
(Destination Fabulous) 7226b5d673e180952615a8ad38578e84",,,,,,Beauty,,,,,,,,,,,,,https://wat.adludio.com/games/,7226b5d673e180952615a8ad38578e84/8d8c16c8bc499fb965e2,/game.js,https://wat.adludio.com/games/7226b5d673e180952615a8ad38578e84/8d8c16c8bc499fb965e2/game.js,,⬆️ Swipe up,standard,YES,YES,"FEMALES (80%) 
MALES (20%) AGED 18-55",Display,Full Screen,Engagement rate,32.88%,Yes,,,,,,,93.79%,
"MAC 
(Destination Fabulous) D9822062cb9652b0ca8f78b4e3245090",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,d9822062cb9652b0ca8f78b4e3245090/ae5926d35b632a2bc803,/game.js,https://wat.adludio.com/games/d9822062cb9652b0ca8f78b4e3245090/ae5926d35b632a2bc803/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"MAC 
(Destination Fabulous) 2e89f3212289ac32309264e22f37aa19",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,2e89f3212289ac32309264e22f37aa19/22a92f1c99400ba0bf62,/game.js,https://wat.adludio.com/games/2e89f3212289ac32309264e22f37aa19/22a92f1c99400ba0bf62/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"MAC 
(Destination Fabulous) 354747d4fa79d61fc084b7cda58ec533",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,354747d4fa79d61fc084b7cda58ec533/f10e8e2aefaabed1394f,/game.js,https://wat.adludio.com/games/354747d4fa79d61fc084b7cda58ec533/f10e8e2aefaabed1394f/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"MAC 
(Destination Fabulous) Fcae44bd6bd299ca6a0ae142e53096da",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,fcae44bd6bd299ca6a0ae142e53096da/0ce2c470633f78a9a852,/game.js,https://wat.adludio.com/games/fcae44bd6bd299ca6a0ae142e53096da/0ce2c470633f78a9a852/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Macallan  
(Brand Campaign)",,,,,,Alcoholic drink,,,,,,,,,,,,,https://wat.adludio.com/games/,825735b6b920f2ddbb4b23d7739f4350/92ba50e0ba0e401212f1,/game.js,https://wat.adludio.com/games/825735b6b920f2ddbb4b23d7739f4350/92ba50e0ba0e401212f1/game.js,,⬆️ Swipe up ,standard,YES,–,"Adults 30-40
affluent and premium spirits consumers",Display,Full Screen,Engagement rate and CTR,16.23%,,19.98%,Yes,27.92%,No,NO,,85.70%,
"Mondelez 
Oreo Play to Win 
Cf4fe35c7d8beb8ab57826432c6998a4",,,,,,Food & Drink,,,,,,,,,,,,,https://wat.adludio.com/games/,cf4fe35c7d8beb8ab57826432c6998a4/957a1d9fd1b2089fe46e,/game.js,https://wat.adludio.com/games/cf4fe35c7d8beb8ab57826432c6998a4/957a1d9fd1b2089fe46e/game.js,,🔘 Press & Hold,standard,YES,–,Adults 18-25,Display,Full Screen,Engagement rate and CTR,30.89%,YES,"1.38%
(clicks/impressions, CPM buy)",NO,49.67%,YES,NO,,77.98%,
"Mondelez 
Oreo Play to Win
63d2d5c88cd23e3752955049bc41266a",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,63d2d5c88cd23e3752955049bc41266a/7aaafcb7f85769e90db3,/game.js,https://wat.adludio.com/games/63d2d5c88cd23e3752955049bc41266a/7aaafcb7f85769e90db3/game.js,,,,,,,,MPU,,,,,,,,,,,
"LEGO 
Masterbrand Easter",,,,,,Toys & Games,,,,,,,,,,,,,https://wat.adludio.com/games/,a1d85ae308ee514616ec52dae1a31b56/41c0ad90c67cf3a1b71d,/game.js,https://wat.adludio.com/games/a1d85ae308ee514616ec52dae1a31b56/41c0ad90c67cf3a1b71d/game.js,,⬆️ Swipe up,standard,–,–,"Fans of Lego
Children aged 5-12",Display,Full Screen,Clicks,27.32%,Yes,14.72%,Yes,N/A,N/A,No,,91.75%,
"Le Méridien
C191ee99ff67f39c00644e3e44a27a70",,,,,,Tourism,,,,,,,,,,,,,https://wat.adludio.com/games/,c191ee99ff67f39c00644e3e44a27a70/d2e26088d9e1f17dbd4c,/game.js,https://wat.adludio.com/games/c191ee99ff67f39c00644e3e44a27a70/d2e26088d9e1f17dbd4c/game.js,,⬅️➡️ Swipe left or right,standard,YES,–,"Leisure travellers
couples
luxery and comfort ",Display,Full Screen,Engagement rate and CTR,25.73%,Yes,9.55%,Yes,39.51%,Yes,,,88.76%,
"Le Méridien
3d82c364fcd15997fc88ddc2ceb2b84f",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,3d82c364fcd15997fc88ddc2ceb2b84f/ef57b81e8736f3f01c78,/game.js,https://wat.adludio.com/games/3d82c364fcd15997fc88ddc2ceb2b84f/ef57b81e8736f3f01c78/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Le Méridien
Bbe5e932549f276aaf1c98f1fb0b5fb2",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,bbe5e932549f276aaf1c98f1fb0b5fb2/db53cd265f1be492f00a,/game.js,https://wat.adludio.com/games/bbe5e932549f276aaf1c98f1fb0b5fb2/db53cd265f1be492f00a/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"DKNY 
(Be Delicious)
D1d5303153b0b14a959bdef6333a3b19",,,,,,Beauty,,,,,,,,,,,,,https://wat.adludio.com/games/,d1d5303153b0b14a959bdef6333a3b19/454a4160f83f22bb23db,/game.js,https://wat.adludio.com/games/d1d5303153b0b14a959bdef6333a3b19/454a4160f83f22bb23db/game.js,,➡️ Swipe right,standard,YES,–,"FEMALES 18+ 
GEOLOCATED AT THE AIRPORT",Display,Full Screen,Engagement rate,25.58%,Yes,,,,,,,97.83%,
"DKNY 
(Be Delicious)
Fc92709296ff46fc4001f675c07dfbf8",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,fc92709296ff46fc4001f675c07dfbf8/17720060d4e219b91860,/game.js,https://wat.adludio.com/games/fc92709296ff46fc4001f675c07dfbf8/17720060d4e219b91860/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Ballymoore
The Douglass Tower",,,,,,Property,,,,,,,,,,,,,https://wat.adludio.com/games/,dbd8630331a1c929092cf92de81af8db/3cf29c68cdf4199614d6,/game.js,https://wat.adludio.com/games/dbd8630331a1c929092cf92de81af8db/3cf29c68cdf4199614d6/game.js,,⬅️ Swipe left,standard,–,YES,"affluent 
adults
potential buyers ",,Full Screen,,,,,,,,,,84.49%,
"Londonewcastle 
The Otto",,,,,,Property,,,,,,,,,,,,,https://wat.adludio.com/games/,65ba65fc1cb7e2c6a349d82c02803664/1d92f90d769357189904,/game.js,https://wat.adludio.com/games/65ba65fc1cb7e2c6a349d82c02803664/1d92f90d769357189904/game.js,,⬆️ Swipe up ,standard,–,YES,"affluent 
adults
new buyers",Display,Full Screen,Clicks ,24.74%,Yes,5.38%,Yes,N/A,N/A,No,,87.72%,
"St Regis 
(Live Exquisite)
",,,,,,Tourism,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-st-regis-exquisite/159780eb3797d3a03867,/game.js,https://wat.adludio.com/games/adunit-st-regis-exquisite/159780eb3797d3a03867/game.js,,〰️👈 Scrub,non-standard,–,YES,"The Luminaries, Travelers, Couples
Families
Adults 25-45",Display,Full Screen,Engagement rate and CTR,14.70%,NO,11.62%,Yes,,,NO,,77.72%,
"Bulgari 
B.Zero 1
Ee6e525b47b9c524412e03876c110838",,,,,,Jewelry,,,,,,,,,,,,,https://wat.adludio.com/games/,ee6e525b47b9c524412e03876c110838/3e18a89f7fa947a4e047,/game.js,https://wat.adludio.com/games/ee6e525b47b9c524412e03876c110838/3e18a89f7fa947a4e047/game.js,,🔘 Press & Hold,standard,YES,–,"Female 18-30
Jewelry",Display,Full Screen,Engagement rate and CTR,24.08%,YES,5.75%,YES,44.34%,YES,NO,,91.63%,
"Bulgari 
B.Zero 1
1ffcebe5c3fd372e89f77ac179cac3eb",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,1ffcebe5c3fd372e89f77ac179cac3eb/8de60582504dae5846b9,/game.js,https://wat.adludio.com/games/1ffcebe5c3fd372e89f77ac179cac3eb/8de60582504dae5846b9/game.js,,,,,,,,MPU,,,,,,,,,,,
"Bulgari 
B.Zero 1
B97fe46c26b6a44d50a8cf98261bb8db",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,b97fe46c26b6a44d50a8cf98261bb8db/e0b3de2d39ddc2a207d8,/game.js,https://wat.adludio.com/games/b97fe46c26b6a44d50a8cf98261bb8db/e0b3de2d39ddc2a207d8/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Bulgari 
B.Zero 1
C58e5062475686313f2f83ab5c5a6547",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,c58e5062475686313f2f83ab5c5a6547/3307e40e68734604dd2d,/game.js,https://wat.adludio.com/games/c58e5062475686313f2f83ab5c5a6547/3307e40e68734604dd2d/game.js,,,,,,,,MPU,,,,,,,,,,,
"Lionsgate: Robin Hood
Dab13989c466e2b65d2b9584bffa747b",,,,,,"TV, online streaming,
movies",,,,,,,,,,,,,https://wat.adludio.com/games/,dab13989c466e2b65d2b9584bffa747b/eaf1c05e863cd7588aee,/game.js,https://wat.adludio.com/games/dab13989c466e2b65d2b9584bffa747b/eaf1c05e863cd7588aee/game.js,,🔘 Press & Hold,standard,YES,–,"Families
Age 12+
fans of action films",Display,Full Screen,5% - 10% engagemenr rate,23.75%,Yes,28.44%,Yes,35.47%,Yes,No,n/a,,
"Lionsgate: Robin Hood
Bad0737beebea913d5fd5facf62c0e22",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,bad0737beebea913d5fd5facf62c0e22/4e62580345b630ec3f55,/game.js,https://wat.adludio.com/games/bad0737beebea913d5fd5facf62c0e22/4e62580345b630ec3f55/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Lionsgate: Robin Hood
D6d8d3c3d4e93f539102d8121b3adca4",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,d6d8d3c3d4e93f539102d8121b3adca4/c7fe1d9ee42b158a60c6,/game.js,https://wat.adludio.com/games/d6d8d3c3d4e93f539102d8121b3adca4/c7fe1d9ee42b158a60c6/game.js,,,,,,,,MPU,,,,,,,,,,,
"Lionsgate: Robin Hood
Fd09964a68e46229f79d962bd01c7d81",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,fd09964a68e46229f79d962bd01c7d81/e5d6bfc98014b7acadc5,/game.js,https://wat.adludio.com/games/fd09964a68e46229f79d962bd01c7d81/e5d6bfc98014b7acadc5/game.js,,,,,,,,MPU,,,,,,,,,,,
William Lawson,,,,,,Alcoholic drink,,,,,,,,,,,,,https://wat.adludio.com/games/,592f631d380b9a8265e28070fcb129a5/023ca1b9e31eea8c4b6e,/game.js,https://wat.adludio.com/games/592f631d380b9a8265e28070fcb129a5/023ca1b9e31eea8c4b6e/game.js,,📳 Shake,standard,–,–,"Adults
drinkers
whiskey drinkers",Display,MPU,Clicks,22.09%,Yes,7.66%,Yes,N/A,N/A,,,91.99%,
Evian Sunrise Scrub 01 Mob,,,,,,Food & Drink,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-evian-sunrise-scrub-01-mob/73828b1029a7b33c8f51,/game.js,https://wat.adludio.com/games/adunit-evian-sunrise-scrub-01-mob/73828b1029a7b33c8f51/game.js,,〰️👈 Scrub,non-standard,YES,–,"drinkers
natural source drinkers
organic ",Display,Full Screen,Engagement rate and CTR,21.79%,Yes,4.37%,Yes,58.09%,Yes,No,N/A,85.56%,
Evian Sunrise Scrub 02 Mob,,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-evian-sunrise-scrub-02-mob/eed4b69c06cf46305d34,/game.js,https://wat.adludio.com/games/adunit-evian-sunrise-scrub-02-mob/eed4b69c06cf46305d34/game.js,,,,,,,,Full Screen,,,,,,,,,,,
Evian Sunrise Scrub 03 Mob,,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-evian-sunrise-scrub-03-mob/a2cdec997f1c933ec102,/game.js,https://wat.adludio.com/games/adunit-evian-sunrise-scrub-03-mob/a2cdec997f1c933ec102/game.js,,,,,,,,Full Screen,,,,,,,,,,,
Evian Sunrise Scrub 04 Mob,,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-evian-sunrise-scrub-04-mob/1148966ed9e3dc9ed407,/game.js,https://wat.adludio.com/games/adunit-evian-sunrise-scrub-04-mob/1148966ed9e3dc9ed407/game.js,,,,,,,,Full Screen,,,,,,,,,,,
Evian Sunrise Scrub 01 Mpu,,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-evian-sunrise-scrub-01-mpu/0c3e89551c507e4ef18f,/game.js,https://wat.adludio.com/games/adunit-evian-sunrise-scrub-01-mpu/0c3e89551c507e4ef18f/game.js,,,,,,,,MPU,,,,,,,,,,,
Evian Sunrise Scrub 02 Mpu,,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-evian-sunrise-scrub-02-mpu/9fb5432dfb53d21b58f0,/game.js,https://wat.adludio.com/games/adunit-evian-sunrise-scrub-02-mpu/9fb5432dfb53d21b58f0/game.js,,,,,,,,MPU,,,,,,,,,,,
Evian Sunrise Scrub 03 Mpu,,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-evian-sunrise-scrub-03-mpu/ddd40da53dbb79adb8c1,/game.js,https://wat.adludio.com/games/adunit-evian-sunrise-scrub-03-mpu/ddd40da53dbb79adb8c1/game.js,,,,,,,,MPU,,,,,,,,,,,
Evian Sunrise Scrub 04 Mpu,,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,adunit-evian-sunrise-scrub-04-mpu/4684c04403c8bccf41d7,/game.js,https://wat.adludio.com/games/adunit-evian-sunrise-scrub-04-mpu/4684c04403c8bccf41d7/game.js,,,,,,,,MPU,,,,,,,,,,,
"Hoover
washing machine
979e2122476adec539dbcef4df7062ab",,,,,,Home Appliance,,,,,,,,,,,,,https://wat.adludio.com/games/,979e2122476adec539dbcef4df7062ab/1a0db5f843b040b5ca33,/game.js,https://wat.adludio.com/games/979e2122476adec539dbcef4df7062ab/1a0db5f843b040b5ca33/game.js,,◾️👆🔲 Drag & Drop,standard,YES,–,"people with Smarthome Assistants 
Women 25-54",Display,Full Screen,Engagements,21.66%,Yes,10.18%,Yes,38.66%,Yes,No,N/A,92.86%,
"Hoover
washing machine
22dbcecbe1cb8f62eb8bd6c68c670109",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,22dbcecbe1cb8f62eb8bd6c68c670109/c05b2c6a99e7c85096d1,/game.js,https://wat.adludio.com/games/22dbcecbe1cb8f62eb8bd6c68c670109/c05b2c6a99e7c85096d1/game.js,,,,,,,,Full Screen,,,,,,,,,,,
"Hoover
washing machine
686bdd35793fe9478e30286c60ca86bf",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,686bdd35793fe9478e30286c60ca86bf/37583265971195b4d639,/game.js,https://wat.adludio.com/games/686bdd35793fe9478e30286c60ca86bf/37583265971195b4d639/game.js,,,,,,,,Full Screen,,,,,,,,,,,
Hoover Vacuum Cleaner,,,,,,Home Appliance,,,,,,,,,,,,,https://wat.adludio.com/games/,686bdd35793fe9478e30286c60ca86bf/37583265971195b4d639,/game.js,https://wat.adludio.com/games/686bdd35793fe9478e30286c60ca86bf/37583265971195b4d639/game.js,,⬅️ Swipe left,standard,YES,–,"Young Urban Techies - we have slightly widened this to essentially those who have Smarthome Assistants and any activation points / ideas that allows us to specifically target the device or users would be well received
SECONDARY: Women 25-54 - this is a wider audience target and we would ideally like to look at a more upmarket skew within this.
",Display,Full Screen,Engagements,21.66%,Yes,10.18%,Yes,38.66%,Yes,No,N/A,,
"Van Cleef & Arpels Poetic Complications
5355d41710815c24e2fc2fc8b7bca585",,,,,,Jewelry,,,,,,,,,,,,,https://wat.adludio.com/games/,5355d41710815c24e2fc2fc8b7bca585/d5dfa12f1886d31c1c72,/game.js,https://wat.adludio.com/games/5355d41710815c24e2fc2fc8b7bca585/d5dfa12f1886d31c1c72/game.js,,🔘 Press & Hold,standard,YES,–,"Female 25+ & Male 25-60, interests 
(travel, business/economics, sports, spa, 
news, health, gadgets/tech, fine dining)",Display,Full Screen,Engagement rate and CTR,21.46%,YES,6.71%,YES,66.62%,YES,NO,,,
"Van Cleef & Arpels Poetic Complications
93ce4a44aea0e246c1b19a4362c909b0",,,,,,,,,,,,,,,,,,,https://wat.adludio.com/games/,93ce4a44aea0e246c1b19a4362c909b0/e108221d3031c04df612,/game.js,https://wat.adludio.com/games/93ce4a44aea0e246c1b19a4362c909b0/e108221d3031c04df612/game.js,,,,,,,,MPU,,,,,,,,,,,
F&N Magnolia,,,,,,Food & Drink,,,,,,,,,,,,,https://wat.adludio.com/games/,0ab47ed414adc2ac704aafa49e692e87/d08fb32e1f37a3dfc8a5,/game.js,https://wat.adludio.com/games/0ab47ed414adc2ac704aafa49e692e87/d08fb32e1f37a3dfc8a5/game.js,,➡️ Swipe right,standard,–,–,"People 18-35 
grocery shoppers and 
interests in healthy lifestyle/sports",Display,Full Screen,Engagement,21.26%,Yes,10.11%,Yes,N/A,N/A,No,N/A,92.39%,
"ING PH 
(photography)
B37b9cac67ca73f9a6f89abadbde7873",,,,,,Financial,,,,,,,,,,,,,https://wat.adludio.com/games/,b37b9cac67ca73f9a6f89abadbde7873/04e8d8c94a964b8ef078,/game.js,https://wat.adludio.com/games/b37b9cac67ca73f9a6f89abadbde7873/04e8d8c94a964b8ef078/game.js,,🔘 Press & Hold,standard,YES,YES,"Male and Female A24-54 
High Net Worth 
Interest in Digital banking",Display,Full Screen,Engagement rate and CTR,21.03%,YES,5.01%,YES,27.01%,NO,YES,Increased clickable area,94.28%,
